Draw Date	Winning Numbers	Multiplier
1/16/23	04 14 33 39 61 03	3
1/18/23	06 15 22 42 47 26	3
1/21/23	05 14 19 46 64 22	4
1/23/23	12 31 47 58 60 23	3
1/25/23	09 17 20 38 40 18	2
1/28/23	02 18 23 27 47 15	4
1/30/23	01 04 12 36 49 05	2
2/1/23	31 43 58 59 66 09	2
2/4/23	02 08 15 19 58 10	2
2/6/23	05 11 22 23 69 07	2
2/8/23	52 58 59 64 66 09	2
2/11/23	10 23 30 54 65 11	4
2/13/23	17 26 37 61 65 02	2
2/15/23	31 32 54 60 63 12	4
2/18/23	08 21 31 32 37 23	4
2/20/23	03 17 26 38 54 15	3
2/22/23	11 19 39 44 65 07	2
2/25/23	11 24 58 66 67 26	3
2/27/23	16 28 49 51 55 23	2
3/1/23	02 09 28 36 53 04	2
3/4/23	10 16 18 40 66 16	3
3/6/23	02 13 29 58 69 04	3
3/8/23	26 27 43 61 69 04	3
3/11/23	11 20 33 43 58 24	2
3/13/23	03 10 24 46 63 04	2
3/15/23	16 18 33 37 50 08	2
3/18/23	14 20 30 54 69 11	2
3/20/23	01 27 32 47 67 14	2
3/22/23	27 28 37 50 57 05	2
3/25/23	15 17 18 47 57 19	2
3/27/23	19 26 36 43 58 14	3
3/29/23	04 09 24 46 66 07	3
4/1/23	11 19 21 29 52 17	4
4/3/23	16 30 31 54 68 01	2
4/5/23	03 05 09 42 52 11	2
4/8/23	11 22 24 51 60 18	3
4/10/23	09 10 36 46 52 14	2
4/12/23	09 36 41 44 59 04	2
4/15/23	01 33 34 56 59 18	3
4/17/23	23 25 35 63 64 25	3
4/19/23	04 11 21 38 64 11	3
4/22/23	17 36 47 63 68 25	2
4/24/23	19 21 55 66 68 03	2
4/26/23	02 15 30 35 49 06	2
4/29/23	16 53 54 57 65 08	2
5/1/23	03 38 55 61 66 01	3
5/3/23	21 26 30 45 47 23	3
5/6/23	31 39 47 51 53 06	2
5/8/23	15 20 33 36 43 12	2
5/10/23	21 24 33 55 69 03	10
5/13/23	03 15 20 23 46 11	2
5/15/23	01 26 28 55 58 25	2
5/17/23	18 34 37 45 51 14	2
5/20/23	17 23 32 38 63 23	2
5/22/23	09 38 48 52 68 25	4
5/24/23	12 21 44 50 58 26	3
5/27/23	24 38 39 48 56 04	2
5/29/23	21 33 35 62 64 24	2
5/31/23	02 04 54 61 62 14	3
6/3/23	15 45 64 67 68 18	2
6/5/23	02 31 45 46 49 20	2
6/7/23	16 21 29 53 66 02	5
6/10/23	21 32 42 46 50 04	3
6/12/23	02 03 16 23 68 07	2
6/14/23	03 20 36 42 64 04	2
6/17/23	02 12 45 61 64 26	2
6/19/23	36 39 52 57 69 01	3
6/21/23	05 11 33 35 63 14	2
6/24/23	02 38 44 50 62 19	3
6/26/23	06 28 39 43 54 12	4
6/28/23	19 25 34 57 68 04	5
7/1/23	04 17 35 49 61 08	2
7/3/23	15 26 31 38 61 03	3
7/5/23	17 24 48 62 68 23	2
7/8/23	07 23 24 32 43 18	2
7/10/23	02 24 34 53 58 13	2
7/12/23	23 35 45 66 67 20	3
7/15/23	02 09 43 55 57 18	2
7/17/23	05 08 09 17 41 21	4
7/19/23	07 10 11 13 24 24	2
7/22/23	25 27 36 37 63 07	2
7/24/23	03 04 12 28 49 25	2
7/26/23	03 16 40 48 60 14	2
6/9/21	19 28 46 50 54 09	2
7/29/23	10 25 27 34 38 02	3
7/31/23	02 11 48 58 65 13	2
8/2/23	23 24 33 51 64 05	2
8/5/23	18 42 44 62 65 23	2
8/7/23	06 13 20 35 54 22	2
8/9/23	10 15 21 67 69 03	2
8/12/23	19 21 37 50 65 26	2
8/14/23	32 34 37 39 47 03	2
8/16/23	09 11 17 19 55 01	2
8/19/23	01 25 27 38 62 13	2
8/21/23	03 04 12 22 28 16	2
8/23/23	25 30 32 33 55 20	2
8/26/23	20 22 26 28 63 05	3
8/28/23	04 06 25 55 68 26	2
8/30/23	04 13 35 61 69 04	2
9/2/23	25 38 42 66 67 19	4
9/4/23	01 26 32 46 51 13	3
9/6/23	09 14 20 23 63 01	3
9/9/23	11 19 29 63 68 25	2
9/11/23	09 25 27 53 66 05	2
9/13/23	22 30 37 44 45 18	3
9/16/23	08 11 19 24 46 05	2
9/18/23	02 21 26 40 42 09	3
9/20/23	16 27 59 62 63 23	3
9/23/23	01 12 20 33 66 21	2
9/25/23	10 12 22 36 50 04	2
9/27/23	01 07 46 47 63 07	3
9/30/23	19 30 37 44 46 22	2
10/2/23	12 26 27 43 47 05	2
10/4/23	09 35 54 63 64 01	2
10/7/23	47 54 57 60 65 19	3
10/9/23	16 34 46 55 67 14	3
10/11/23	22 24 40 52 64 10	2
10/14/23	14 16 42 48 64 14	2
10/16/23	02 27 31 44 64 18	3
10/18/23	01 04 13 35 58 24	2
10/21/23	06 15 24 67 68 11	2
10/23/23	18 21 25 46 64 21	5
10/25/23	25 27 41 53 68 02	2
10/28/23	14 24 50 59 64 02	2
10/30/23	19 22 34 66 69 05	3
11/1/23	22 26 39 47 63 12	3
11/4/23	01 28 30 34 52 06	2
11/6/23	12 25 40 59 61 26	2
11/8/23	14 21 33 39 62 20	2
11/11/23	01 12 14 24 57 07	4
11/13/23	24 33 35 37 42 21	2
11/15/23	03 04 51 53 60 06	3
11/18/23	34 50 51 61 67 20	2
11/20/23	19 26 30 39 63 13	2
11/22/23	20 24 33 39 42 21	2
11/25/23	27 33 63 66 68 09	2
11/27/23	02 21 38 61 66 12	2
11/29/23	06 47 50 61 68 04	2
12/2/23	28 35 41 47 60 03	2
12/4/23	18 19 27 28 45 09	3
12/6/23	02 12 37 56 65 21	3
12/9/23	05 25 26 40 60 01	2
12/11/23	01 24 27 31 62 20	3
12/13/23	03 08 41 56 64 18	2
12/16/23	03 09 10 20 62 25	3
12/18/23	05 08 19 34 39 26	3
12/20/23	27 35 41 56 60 16	2
12/23/23	09 14 17 18 53 06	3
12/25/23	05 12 20 24 29 04	2
12/27/23	04 11 38 51 68 05	3
12/30/23	10 11 26 27 34 07	4
1/1/24	12 21 42 44 49 01	3
1/3/24	30 31 38 48 68 08	10
1/6/24	04 31 34 38 61 13	2
1/8/24	07 17 28 40 45 02	3
1/10/24	25 40 43 48 50 11	2
1/13/24	13 31 33 51 58 15	2
1/15/24	13 30 35 49 59 04	3
1/17/24	18 22 43 61 65 02	4
1/20/24	16 31 34 47 65 10	3
1/22/24	24 25 43 52 63 21	2
1/24/24	01 05 32 50 64 08	4
1/27/24	07 38 65 66 68 21	2
1/29/24	39 41 43 49 64 04	2
1/31/24	15 18 19 41 43 14	2
2/3/24	09 11 27 59 66 19	3
2/5/24	01 02 27 30 67 09	5
2/7/24	12 21 62 67 69 17	3
2/10/24	27 28 34 37 44 08	2
2/12/24	17 36 43 53 67 14	2
2/14/24	01 04 45 47 67 18	2
2/17/24	06 28 59 62 69 21	3
2/19/24	04 23 45 50 53 17	3
2/21/24	04 27 33 41 42 14	2
2/24/24	03 08 40 53 58 03	3
2/26/24	24 29 42 51 54 16	3
2/28/24	16 26 29 38 50 06	2
3/2/24	03 18 27 36 53 12	2
3/4/24	36 42 50 52 67 26	2
3/6/24	06 19 28 44 60 10	2
3/9/24	30 36 49 52 63 16	5
3/11/24	01 03 07 16 66 05	5
3/13/24	21 29 54 59 62 04	2
3/16/24	12 23 44 57 61 05	2
3/18/24	10 17 20 39 44 16	3
3/20/24	13 22 27 54 66 09	2
3/23/24	06 23 25 34 51 03	2
3/25/24	07 11 19 53 68 23	2
3/27/24	37 46 57 60 66 08	2
3/30/24	12 13 33 50 52 23	3
4/1/24	19 24 40 42 56 23	2
4/3/24	11 38 41 62 65 15	3
4/6/24	22 27 44 52 69 09	3
4/8/24	06 21 23 39 54 23	2
4/10/24	06 07 12 24 36 15	2
8/10/24	09 24 33 64 69 09	2
4/13/24	07 33 40 43 69 10	5
4/15/24	07 16 41 56 61 23	3
4/17/24	24 29 44 47 54 02	2
4/20/24	04 35 41 44 58 25	3
4/22/24	12 16 33 39 52 01	2
4/24/24	02 20 22 26 47 21	4
4/27/24	09 30 53 55 62 23	3
4/29/24	11 38 47 67 69 14	2
5/1/24	01 11 19 21 68 15	2
5/4/24	14 20 23 53 69 04	2
5/6/24	07 23 24 56 60 25	2
5/8/24	07 41 43 44 51 05	2
5/11/24	03 06 39 49 67 21	2
5/13/24	05 14 29 38 66 01	2
5/15/24	19 42 45 55 69 06	2
5/18/24	19 36 37 42 59 19	2
5/20/24	01 07 48 64 68 05	2
5/22/24	05 16 18 26 67 04	3
5/25/24	06 33 35 36 64 24	3
5/27/24	09 30 39 49 59 21	5
5/29/24	17 34 56 60 61 09	2
6/1/24	28 38 52 54 68 08	2
6/3/24	19 29 35 36 45 16	2
6/5/24	08 44 45 51 69 12	3
6/8/24	08 38 52 54 64 15	3
6/10/24	03 10 33 58 59 09	2
6/12/24	19 30 31 61 62 21	2
6/15/24	04 36 48 54 56 02	3
6/17/24	30 48 53 58 66 09	2
6/19/24	04 27 44 50 64 07	3
6/22/24	04 05 15 32 62 21	2
6/24/24	05 06 36 53 69 08	2
6/26/24	04 09 36 47 56 07	5
6/29/24	26 51 54 61 69 25	3
7/1/24	05 09 32 39 55 09	2
7/3/24	02 26 33 55 57 22	2
7/6/24	05 32 35 39 49 21	2
7/8/24	20 22 31 33 45 01	3
7/10/24	07 11 12 27 46 26	3
7/13/24	09 55 59 66 69 21	2
7/15/24	09 31 39 40 45 23	3
7/17/24	24 27 32 47 66 26	2
7/20/24	18 25 31 40 57 04	3
7/22/24	31 36 56 58 69 20	2
7/24/24	16 42 59 63 68 13	2
7/27/24	03 31 37 40 64 17	3
8/12/24	09 22 57 67 68 14	3
7/29/24	11 27 30 33 44 16	3
7/31/24	23 34 37 50 58 07	2
8/3/24	13 33 40 60 61 20	3
8/5/24	29 42 44 51 54 12	2
8/7/24	06 19 35 47 57 09	3
8/14/24	08 09 23 29 62 13	2
8/17/24	12 31 43 45 46 22	5
8/19/24	01 02 15 23 28 10	2
8/21/24	27 31 33 38 67 03	2
8/24/24	05 15 21 24 43 17	3
8/26/24	02 04 23 68 69 15	3
8/28/24	05 33 47 50 64 20	2
8/31/24	04 34 35 38 69 19	2
9/2/24	08 42 46 48 53 22	3
9/4/24	07 10 21 33 59 20	3
9/7/24	14 34 37 55 63 20	2
9/9/24	01 16 21 47 60 05	3
9/11/24	10 12 55 65 67 03	3
9/14/24	29 34 38 48 56 16	2
9/16/24	08 09 11 27 31 17	5
9/18/24	01 11 22 47 68 07	4
9/21/24	17 19 21 37 45 14	2
9/23/24	15 21 25 37 45 19	3
9/25/24	02 26 45 46 52 21	2
9/28/24	03 11 13 24 39 22	3
9/30/24	09 11 30 43 69 20	2
10/2/24	01 02 21 37 43 21	3
10/5/24	02 12 46 52 65 03	2
10/7/24	18 30 31 52 63 22	2
10/9/24	25 32 43 53 66 10	3
10/12/24	05 14 20 41 57 06	3
10/14/24	14 18 33 64 67 14	2
10/16/24	04 30 39 44 60 11	2
10/19/24	07 16 19 45 64 25	3
10/21/24	01 25 57 62 64 15	2
10/23/24	02 15 27 29 39 20	2
10/26/24	08 12 40 45 51 15	2
10/28/24	21 27 32 48 67 17	2
10/30/24	13 22 29 43 58 22	3
11/2/24	10 45 48 58 61 02	3
11/4/24	06 18 33 48 53 21	10
11/6/24	12 17 37 58 62 04	2
